postName,organization,advertisementNo,category,listingSection,state,totalPosts,applicationStartDate,lastDate,admitCardDate,examDate,resultDate,ageMin,ageMax,eligibility,selectionProcess,officialApplyLink,notificationPdfUrl,syllabusLink,feeGENERAL,feeOBC,feeEWS,feeSC_ST,feePWBD,relaxOBC,relaxSC_ST,relaxPWBD
MPESB MP Police Constable Online Form 2026 (7500 Posts),Madhya Pradesh Employee Selection Board MPESB,,POLICE,AUTO,Madhya Pradesh,7500,,2026-10-06,,2026-11-19,,18,33,,,https://esb.mp.gov.in/e_default.html,https://esb.mp.gov.in/Rulebooks/RB_2026/PCRT_GD_2026_RuleBook_09092026.pdf,,500,250,250,100,,,,
"BPSC School Teacher TRE 4.0 Online Form 2026 (32,388 Posts)",Bihar Public Service Commission (BPSC),,STATE_PSC,AUTO,Bihar,32388,2026-09-25,2026-10-26,,,,,,,,http://www.bpsc.bih.nic.in/,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/Notices/Important-Notice-152026-TRE-4.0-Advertisement_BPSC-20260922-vn0ekm.pdf,,40,,,,,,,
"MPESB MP Police SI, Subedar Online Form 2026 &#8211; Last Date Today",Madhya Pradesh Employees Selection Board (MPESB),,POLICE,AUTO,Madhya Pradesh,507,2026-09-09,2026-09-23,,,,18,33,,,https://esb.mp.gov.in/e_default.html,https://esb.mp.gov.in/Rulebooks/RB_2026/SI_Rulebook_2026_01092026.pdf,,500,250,,250,,,,
RRB NTPC 10+2 UG Online Form 2026,Railway Recruitment Board (RRB),07/2026,RAILWAY,AUTO,,1688,2026-10-15,2026-11-13,,,,18,30,,,https://rrb.indianrailways.gov.in/,,,500,500,500,250,,,,
"IBPS RRB 15th Online Form 2026 (13,706 Posts)",Institute of Banking Personnel Selection (IBPS),,RAILWAY,AUTO,,13706,2026-09-01,2026-09-27,,,,18,28,,,https://www.ibps.in/,https://www.ibps.in/wp-content/uploads/Approved_Corrigendum-for-Extension_CRP-RRBs-XV-002.pdf,,850,850,850,,,,,
RRB NTPC Graduate Level Online Form 2026 (3477 Posts),CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,06/2026,RAILWAY,AUTO,,3477,2026-10-08,2026-11-06,,,,18,33,,,https://rrb.indianrailways.gov.in/,,,500,500,500,250,,,,
NTPC Assistant Officer Online Form 2026,National Thermal Power Corporation (NTPC),12/2026,PSU,AUTO,,15,2026-09-21,2026-10-05,,,,,,,,https://careers.ntpc.co.in/recruitment/,,,500,500,500,,,,,
UPESSC PRT Assistant Teacher Online Form 2026 (12405 Post),Uttar Pradesh Education Service Selection Commission UPESSC,05/2026,TEACHING,AUTO,Uttar Pradesh,12405,2026-09-16,2026-10-15,,2026-12-04,,21,40,,,https://upessc.up.gov.in/,https://www.upessc.up.gov.in/Notice/a429-726e-4862-f3dc-8a6f.pdf,https://www.upessc.up.gov.in/syllabus/837218cf-1d9a-4252-a08c-404719d1b9d9.pdf,1000,1000,1000,,,,,
UPESSC UP Assistant Professor Online Form 2026,Uttar Pradesh Education Service Selection Commission UPESSC,04/2026,TEACHING,AUTO,Uttar Pradesh,1936,2026-09-08,2026-10-07,,2026-11-20,,,,,,https://upessc.up.gov.in/,https://www.upessc.up.gov.in/Notice/51a0-7a2c-4bdd-884b-4ae7.pdf,https://www.upessc.up.gov.in/Home/Syllabus_all,2000,2000,2000,,,,,
UP PGT Teacher Online Form 2026 (2607 Posts),Uttar Pradesh Education Service Selection Commission UPESSC,06/2026,TEACHING,AUTO,Uttar Pradesh,2607,2026-09-18,2026-10-17,,2026-12-16,,21,62,,,https://upessc.up.gov.in/,https://www.upessc.up.gov.in/Notice/b9ce-e9ff-48c3-10f9-4b52.pdf,https://www.upessc.up.gov.in/Home/Syllabus_all,1500,1500,1500,,,,,
