postName,organization,advertisementNo,category,listingSection,state,totalPosts,applicationStartDate,lastDate,admitCardDate,examDate,resultDate,ageMin,ageMax,eligibility,selectionProcess,officialApplyLink,notificationPdfUrl,syllabusLink,feeGENERAL,feeOBC,feeEWS,feeSC_ST,feePWBD,relaxOBC,relaxSC_ST,relaxPWBD
{{'Recruitment_HM' | translate }},Uttar Pradesh Public Service Commission,btKkI0lkJHa6cTb,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"CLICK HERE TO APPLY FOR DEPUTY SECRETARY (I.T.) IN UPPSC, ADVT.NO. D-2/E-1/2026.",Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,2026-10-14,,,,,,,,,,,,,,,,,,
{{'InterviewOnly_HM' | translate }},Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,
{{'ScreeningTestInt_HM' | translate }},Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,
{{'ExaminationOnly_HM' | translate }},Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,
{{'ExaminationAndInterviewOnly_HM' | translate }},Uttar Pradesh Public Service Commission,DD6H/iaSNB2aUFMjtrFEbGSq/5l6APEcDP/nIKfQrjZsGyRjB0UCfXHXBu/cYfm14Iuzv5RfGIr2/yPnY5YGmiKGMwX3p2,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,
{{'PreExamMainExamInt_HM' | translate }},Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,
{{'DisplayNoticeE_HM' | translate }},Uttar Pradesh Public Service Commission,m6xkRQGfskXtB1Lc1HtyQ3RcX638GyJuYB/nomGYDxg9mbd6hJLly6f/wyAuVrtnM/zvFGJ2T/p7bSm0SjGJQwi54JHiVdhLPjEWI3eW1QAx,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
{{'DisplayNoticeI_HM' | translate }},Uttar Pradesh Public Service Commission,4sDETo8vaErM0MTZWfbZFSdfqt2dKxU/BC,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
{{'DwldInterviewLetterDirect_HM' | translate }},Uttar Pradesh Public Service Commission,Page,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,
"RESULT OF ADVT. NO. D-2/E-1/2024, HIGHER EDUCATION DEPARTMENT UTTAR PRADESH, REG..",Uttar Pradesh Public Service Commission,ImVGgAoBqAxY2iKJvX0seCoTKoVfve6dJu0syFBPBnRQtbiG,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING DOCUMENT VERIFICATION OF ADVT. NO. A-5/E-1/2025, ASSISTANT TEAC..",Uttar Pradesh Public Service Commission,QlXhhoDFZWhI5ImTUtT0LcPIH,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
